Date,Stone,Pounds,Ounces,weight_oz,calories,cals_per_oz,five_donuts,walk,run,wine,prot,weight,change
10/22/18,12,0,4,2692,1800,0.67,0,1,0,0,0,0,-18
10/23/18,11,13,2,2674,3750,1.4,0,1,0,1,0,0,-10
10/24/18,11,12,8,2664,3500,1.31,0,1,0,0,0,0,40
10/25/18,12,1,0,2704,2850,1.05,1,1,0,0,0,0,2
10/26/18,12,1,2,2706,2750,1.02,1,0,0,0,0,0,-2
10/27/18,12,1,0,2704,2950,1.09,0,0,1,1,0,0,-16
10/28/18,12,0,0,2688,7550,2.81,0,0,0,1,0,0,64
10/29/18,12,4,0,2752,1400,0.51,0,1,0,0,0,0,-48
10/30/18,12,1,0,2704,1550,0.57,0,1,0,0,0,0,-32
10/31/18,11,13,0,2672,2350,0.88,1,1,1,0,0,0,-8
11/1/18,11,12,8,2664,5400,2.03,0,1,0,1,0,0,44
11/2/18,12,1,4,2708,3300,1.22,0,1,0,1,0,0,-14
11/3/18,12,0,6,2694,5350,1.99,0,0,1,0,0,0,14
11/4/18,12,1,4,2708,5200,1.92,0,0,0,0,0,0,32
11/5/18,12,3,4,2740,2000,0.73,1,1,0,0,0,0,-44
11/6/18,12,0,8,2696,3550,1.32,1,1,0,0,0,1,8
11/7/18,12,1,0,2704,2200,0.81,0,0,1,0,0,1,0
11/8/18,12,1,0,2704,2600,0.96,0,1,0,0,0,1,-10
11/9/18,12,0,6,2694,3700,1.37,0,1,1,1,0,1,-14
11/10/18,11,13,8,2680,3600,1.34,0,1,0,1,0,1,0
11/11/18,11,13,8,2680,2600,0.97,0,1,1,0,0,1,-32
11/12/18,11,11,8,2648,4250,1.6,1,1,0,1,0,1,58
11/13/18,12,1,2,2706,2050,0.76,0,1,1,0,0,1,-16
11/14/18,12,0,2,2690,5850,2.17,1,0,0,0,0,1,48
11/15/18,12,3,2,2738,1950,0.71,0,0,1,0,0,1,-58
11/16/18,11,13,8,2680,5050,1.88,0,1,0,0,1,1,12
11/17/18,12,0,4,2692,6200,2.3,0,0,1,1,0,1,12
11/18/18,12,1,0,2704,7050,2.61,0,0,0,0,0,1,34
11/19/18,12,3,2,2738,2200,0.8,1,0,1,0,0,1,-42
